İlçe,Mahalle,Oda Sayısı,m^2,Bina Yaşı,Kat,Fiyat
 Yenimahalle , Batı Sitesi,4,160,25,2,25000
 Çankaya , Yaşamkent,2,50,0,0,19000
 Çankaya , Metin Akkuş,3,90,25,0,14000
 Çankaya , Ayrancı,2,75,19,8,32000
 Çankaya , Murat,4,100,35,1,17000
 Çankaya , Murat,4,100,35,1,17000
 Mamak , Cengizhan,4,135,12,5,18000
 Çankaya , Sokullu Mehmet Paşa,4,120,27,3,22000
 Çankaya , Zafertepe,3,100,25,2,18000
 Etimesgut , Göksu,5,150,8,1,37000
 Etimesgut , Ayyıldız,4,115,25,4,18000
 Çankaya , Kazım Özalp,2,58,0,1,40000
 Çankaya , Yukarı Bahçelievler,4,120,20,5,35000
 Yenimahalle , Demetevler,4,120,35,3,16500
 Yenimahalle , Gazi,4,120,10,0,20500
 Keçiören , Adnan Menderes,4,135,19,2,25000
 Yenimahalle , Emniyet,3,75,30,1,19000
 Yenimahalle , Gazi,4,180,0,3,40000
 Mamak , Abidinpaşa,4,100,35,1,15000
 Sincan , Ulubatlı Hasan,3,75,35,4,14000
 Gölbaşı , Taşpınar,3,110,0,2,30000
 Çankaya , Remzi Oğuz Arık,4,135,36,1,35000
 Mamak , Hüseyingazi,4,120,18,1,14000
 Çankaya , Cevizlidere,4,165,20,2,29750
 Çankaya , Güvenevler,2,75,0,-1,35000
 Çankaya , İlkadım,4,125,28,2,30000
 Çankaya , İlkadım,3,105,21,2,25000
 Çankaya , 100. Yıl,3,85,45,-1,20000
 Çankaya , Bademlidere,2,45,0,1,18000
 Mamak , Saimekadın,3,110,30,1,14000
 Etimesgut , Elvan,3,95,16,0,13000
 Çankaya , Yukarı Bahçelievler,4,125,35,1,29500
 Çankaya , Kavaklıdere,4,125,55,2,29000
 Çankaya , İşçi Blokları,4,110,35,5,25000
 Çankaya , Arka Topraklık,3,100,24,2,20000
 Çankaya , Anıttepe,3,100,40,2,32500
 Çankaya , Öveçler,4,140,20,3,28500
 Çankaya , Ön Cebeci,3,72,30,2,18000
 Keçiören , Karargahtepe,3,100,30,3,15000
 Çankaya , Kavaklıdere,3,85,30,-1,20000
 Keçiören , Etlik,4,110,30,2,15000
 Gölbaşı , Şafak,2,50,0,1,15500
 Gölbaşı , İncek,2,45,1,1,23000
 Etimesgut , Topçu,4,130,18,1,17000
 Akyurt , Beyazıt,3,110,1,4,14000
 Mamak , Bahçeleriçi,4,105,15,-1,13000
 Çankaya , Birlik,4,115,27,4,26000
 Etimesgut , Piyade,4,140,10,1,25500
 Çankaya , Kırkkonaklar,4,130,5,1,21000
 Çankaya , Erzurum,4,120,25,0,17500
 Yenimahalle , Tepealtı,3,100,6,1,20000
 Mamak , Akdere,3,110,10,-1,12500
 Çankaya , Mutlukent,3,70,3,8,25500
 Etimesgut , Tunahan,2,75,25,2,20750
 Mamak , Şahintepe,4,140,5,2,18500
 Çankaya , Yukarı Bahçelievler,4,120,35,2,28000
 Çankaya , Balgat,3,110,35,5,26000
 Çankaya , Güvenevler,4,155,45,1,37500
 Keçiören , Şenlik,4,115,35,2,13000
 Çankaya , Yukarı Bahçelievler,2,60,0,3,45000
 Çankaya , Emek,4,125,38,3,35000
 Etimesgut , Ayyıldız,4,110,20,4,15750
 Çankaya , Huzur,4,125,25,2,24000
 Altındağ , Aydınlıkevler,3,80,31,1,13500
 Keçiören , Basınevleri,4,115,25,3,23000
 Mamak , Üreğil,3,110,10,3,18000
 Çankaya , 100. Yıl,5,185,35,-1,34000
 Çankaya , Fidanlık,4,110,30,3,20000
 Etimesgut , Tunahan,2,67,20,4,20000
 Çankaya , Kazım Özalp,3,90,31,1,25000
 Çankaya , Karapınar,4,140,8,1,25000
 Çankaya , Harbiye,4,120,29,0,20000
 Sincan , Akşemsettin,3,95,16,2,15000
 Keçiören , Atapark,4,120,10,-1,18000
 Çankaya , Tınaztepe,4,135,30,4,25000
 Mamak , Cengizhan,4,125,8,2,21000
 Mamak , Demirlibahçe,3,95,35,0,15000
 Mamak , General Zeki Doğan,4,110,18,2,15000
 Keçiören , Esertepe,4,130,18,2,25000
 Yenimahalle , Yunus Emre,4,110,40,8,18000
 Altındağ , Aydınlıkevler,4,110,12,1,28000
 Yenimahalle , Demetgül,4,125,35,3,17000
 Yenimahalle , Varlık,5,150,17,1,25000
 Çankaya , Anıttepe,4,130,45,2,30000
 Çankaya , İlkbahar,3,110,7,4,35000
 Etimesgut , 30 Ağustos,4,110,25,1,16000
 Çankaya , Balgat,4,110,25,2,22500
 Mamak , Saimekadın,4,110,38,1,15000
 Çankaya , Ön Cebeci,4,120,40,3,23000
 Etimesgut , Atayurt,4,117,11,2,16000
 Çankaya , Yaşamkent,2,50,5,-1,17500
 Çankaya , Emek,2,50,1,1,38000
 Gölbaşı , Kızılcaşar,2,55,5,6,20000
 Çankaya , Tınaztepe,3,100,40,1,18000
 Çankaya , Aziziye,3,100,38,6,22000
 Çankaya , Yücetepe,3,95,45,1,26000
 Çankaya , Keklik Pınarı,4,120,29,6,37000
 Çubuk , Esenboğa Merkez,3,70,1,2,14000
 Çankaya , Şehit Cengiz Karaca,4,130,25,2,25000
 Keçiören , Aşağı Eğlence,3,75,36,1,20000
 Çankaya , Tınaztepe,3,90,30,0,20000
 Çankaya , Emek,5,158,45,1,36000
 Polatlı , Kurtuluş,4,115,25,0,13000
 Çankaya , Cevizlidere,4,150,15,1,25000
 Mamak , Fahri Korutürk,4,110,16,-2,14500
 Gölbaşı , Taşpınar,2,55,1,0,25850
 Yenimahalle , Işınlar,4,155,18,4,22500
 Yenimahalle , Gazi,3,100,40,6,24500
 Yenimahalle , Yeniçağ,3,85,30,0,15500
 Keçiören , Ayvalı,3,90,25,1,17500
 Çankaya , Küçükesat,4,135,45,1,25000
 Çankaya , Emek,4,100,40,1,28000
 Çankaya , Sancak,4,160,23,3,30000
 Yenimahalle , Yeniçağ,4,120,31,3,20000
 Çankaya , Kazım Özalp,2,80,16,2,25000
 Mamak , Cengizhan,4,150,13,5,19000
 Çankaya , Öveçler,4,110,25,-2,20000
 Keçiören , Güçlükaya,3,86,39,0,12000
 Çankaya , Fakülteler,2,60,0,3,24000
 Çankaya , Ayrancı,4,135,36,4,30000
 Yenimahalle , Demetevler,4,120,38,6,15000
 Yenimahalle , Ergazi,4,140,25,3,18000
 Etimesgut , Şeyh Şamil,5,120,27,0,25000
 Çankaya , Yukarı Bahçelievler,4,110,35,3,30000
 Çankaya , Yukarı Bahçelievler,4,130,20,4,35000
 Çankaya , Murat,4,115,35,1,17000
 Çankaya , Sokullu Mehmet Paşa,4,120,26,1,23000
 Çankaya , Ata,2,70,17,0,17250
 Çankaya , Kırkkonaklar,3,90,0,1,18000
 Çankaya , Çamlıtepe,3,110,35,1,25000
 Keçiören , Tepebaşı,4,110,30,2,17000
 Etimesgut , Atakent,4,110,25,6,16500
 Çankaya , Kazım Özalp,3,90,30,1,25000
 Keçiören , Şehit Kubilay,4,115,8,-1,15750
 Çankaya , Ayrancı,4,130,30,3,20000
 Çankaya , İlkbahar,4,150,11,1,28000
 Çankaya , Aşağı Öveçler,4,155,18,3,29000
 Altındağ , Aydınlıkevler,4,110,38,1,15500
 Yenimahalle , Yeni Batı,3,100,5,1,29500
 Çankaya , Gaziosmanpaşa,4,120,55,1,25000
 Çankaya , Yukarı Bahçelievler,4,140,45,2,30000
 Çankaya , Mebusevleri,4,108,39,3,22000
 Etimesgut , Piyade,4,125,16,6,16500
 Çankaya , Anıttepe,3,75,6,1,38500
 Çankaya , Harbiye,4,115,30,1,20000
 Çankaya , Aydınlar,4,125,28,0,20000
 Mamak , Karaağaç,4,130,7,2,19000
 Keçiören , Bağlarbaşı,4,110,21,1,14500
 Keçiören , Ufuktepe,4,138,17,3,16500
 Keçiören , Şenlik,4,110,45,3,19900
 Sincan , Fatih,4,120,30,3,17500
 Mamak , Balkiraz,4,115,30,2,17400
 Yenimahalle , Demetlale,4,130,16,5,15000
 Çankaya , Yukarı Bahçelievler,4,115,35,1,29000
 Çankaya , Arka Topraklık,4,100,38,2,20000
 Çankaya , Oğuzlar,2,70,15,2,32000
 Çankaya , Metin Akkuş,4,120,26,3,19000
 Mamak , Akdere,3,95,18,-1,15000
 Mamak , Saimekadın,4,110,29,6,15000
 Çankaya , Seyranbağları,4,90,45,1,16000
 Altındağ , Güneşevler,4,115,9,1,22000
 Çankaya , Birlik,2,70,5,3,20000
 Çankaya , Aydınlar,4,115,25,2,20000
 Çankaya , Yukarı Bahçelievler,3,90,9,1,39000
 Çankaya , Emek,2,50,1,4,35000
 Çankaya , Büyükesat,4,140,25,4,40000
 Çankaya , Çiğdem,4,100,18,-1,22000
 Çankaya , Harbiye,4,120,30,0,15500
 Etimesgut , Bağlıca,5,155,8,1,28000
 Etimesgut , Yapracık,4,117,11,-1,13000
 Etimesgut , Altay,4,110,25,1,21000
 Altındağ , Aydınlıkevler,4,120,19,1,18000
 Çankaya , Güvenevler,3,130,47,1,25000
 Çankaya , Emek,4,120,35,3,33000
 Çankaya , Birlik,4,165,21,1,28500
 Çankaya , Ehlibeyt,4,145,20,3,28000
 Çankaya , Yukarı Bahçelievler,2,85,40,3,22000
 Altındağ , Feridun Çelik,4,145,5,3,17000
 Keçiören , Ayvalı,5,170,9,2,28000
