İlçe,Mahalle,Oda,Salon,m^2,Bina Yaşı,Kat,Fiyat
 Yenimahalle , İlkyerleşim Mah.,3,1,120,30,1,25000
 Keçiören , Yakacık Mah.,3,1,125,40,3,13750
 Çankaya , Harbiye Mah.,3,1,115,30,2,16000
 Çankaya , Cevizlidere Mah.,4,1,170,17,2,42000
 Yenimahalle , Ergazi Mah.,1,1,55,4,3,26500
 Keçiören , Kuşcağız Mah.,3,1,121,21,1,14000
 Etimesgut , Şehit Osman Avcı Mah.,1,1,60,6,5,23000
 Etimesgut , Bağlıca Mah.,4,1,180,8,4,37000
 Keçiören , Esertepe Mah.,4,1,140,10,2,21500
 Çankaya , Bağcılar Mah.,4,1,265,0,19,45000
 Keçiören , Ovacık Mah.,4,1,200,0,19,40000
 Çankaya , Huzur Mah.,3,1,155,28,8,30000
 Yenimahalle , Burç Mah.,5,1,240,12,3,25000
 Mamak , Cengizhan Mah.,3,1,120,10,2,18000
 Etimesgut , İstasyon Mah.,3,1,130,15,2,20500
 Çankaya , Kültür Mah.,1,0,50,0,3,25000
 Mamak , Zirvekent Mah.,2,1,80,15,11,10000
 Yenimahalle , Kayalar Mah.,5,1,170,35,3,25000
 Çankaya , Naci Çakır Mah.,3,1,110,30,1,30000
 Çankaya , Bağcılar Mah.,1,1,95,20,1,41000
 Keçiören , Kalaba Mah.,3,1,115,30,6,15500
 Mamak , Hüseyingazi Mah.,3,1,120,10,1,13500
 Çankaya , İşçi Blokları Mah.,2,1,90,35,4,20000
 Çankaya , Arka Topraklık Mah.,3,1,110,35,6,16000
 Çankaya , Beytepe Mah.,4,1,205,2,11,65000
 Yenimahalle , Emniyet Mah.,1,1,84,0,21,35000
 Çankaya , Malazgirt Mah.,3,1,90,25,0,15000
 Çankaya , Yukarı Bahçelievler Mah.,3,1,120,35,1,27000
 Mamak , Mutlu Mah.,4,1,190,10,3,23000
 Keçiören , Basınevleri Mah.,3,1,110,25,2,24000
 Çankaya , Çiğdem Mah.,3,1,125,21,3,38500
 Polatlı , Gazi Mah.,1,1,70,1,0,16500
 Çankaya , Alacaatlı Mah.,4,1,190,5,8,50000
 Çankaya , Ön Cebeci Mah.,2,1,90,35,2,20000
 Altındağ , Feridun Çelik Mah.,3,1,140,3,0,16000
 Yenimahalle , Emniyet Mah.,1,0,93,0,0,42500
 Çankaya , İşçi Blokları Mah.,3,1,110,28,1,28000
 Gölbaşı , İncek Mah.,1,1,55,0,1,16500
 Keçiören , Ayvalı Mah.,3,1,120,25,3,16000
 Çankaya , Tınaztepe Mah.,3,1,105,50,3,20000
 Çankaya , Zafertepe Mah.,3,1,100,40,3,19000
 Mamak , Şahintepe Mah.,3,1,120,17,3,14500
 Keçiören , Atapark Mah.,3,1,130,5,-2,18500
 Gölbaşı , Karşıyaka Mah.,8,1,500,31,0,10000
 Polatlı , İstiklal Mah.,1,1,65,6,4,13000
 Keçiören , Kalaba Mah.,3,1,110,16,1,16000
 Çankaya , Emek Mah.,3,1,135,30,3,28000
 Çankaya , Yukarı Dikmen Mah.,1,1,55,0,0,25000
 Mamak , Demirlibahçe Mah.,2,1,85,31,0,17000
 Çankaya , Seyranbağları Mah.,2,1,100,40,0,16000
 Keçiören , Kamil Ocak Mah.,3,1,110,30,1,12500
 Yenimahalle , Karşıyaka Mah.,3,1,120,30,6,19500
 Etimesgut , Elvan Mah.,4,1,150,15,6,25000
 Çankaya , Kazım Özalp Mah.,2,1,100,30,-2,25000
 Çankaya , Naci Çakır Mah.,3,1,120,25,1,24500
 Etimesgut , Göksu Mah.,4,1,177,10,3,45000
 Gölbaşı , Kızılcaşar Mah.,8,2,650,5,0,400000
 Çankaya , Prof. Dr. Ahmet Taner Kışlalı Mah.,3,1,116,21,5,35000
 Gölbaşı , Karşıyaka Mah.,1,1,55,1,1,22000
 Keçiören , Ayvalı Mah.,3,1,115,14,2,25500
 Mamak , Hürel Mah.,3,1,110,20,1,22000
 Etimesgut , Eryaman Mah.,1,1,60,8,8,23000
 Çankaya , Mürsel Uluç Mah.,3,1,120,10,1,17500
 Keçiören , Ufuktepe Mah.,2,1,105,0,1,19750
 Çankaya , Yıldızevler Mah.,4,1,190,11,2,36000
 Yenimahalle , Işınlar Mah.,3,1,130,25,2,26000
 Etimesgut , Turkuaz Mah.,2,1,95,15,6,15000
 Gölbaşı , İncek Mah.,1,1,50,0,1,18000
 Yenimahalle , Yeni Batı Mah.,3,1,125,26,0,25000
 Çankaya , Dumlupınar Mah.,4,1,210,32,3,35000
 Keçiören , Güzelyurt Mah.,3,1,116,15,4,16000
 Çankaya , Ayrancı Mah.,3,1,100,31,2,23000
 Altındağ , Aydınlıkevler Mah.,3,1,135,5,1,30000
 Yenimahalle , Yeni Batı Mah.,5,1,210,0,9,32000
 Mamak , Cengizhan Mah.,3,1,145,5,8,22000
 Keçiören , Şehit Kubilay Mah.,3,1,135,4,6,35000
 Yenimahalle , Ergenekon Mah.,3,1,110,40,8,18000
 Yenimahalle , Turgut Özal Mah.,4,1,160,11,8,35000
 Çankaya , Yaşamkent Mah.,1,1,55,0,1,25000
 Keçiören , Bademlik Mah.,3,1,130,5,3,25000
 Çankaya , Akpınar Mah.,3,1,150,20,1,27000
 Çankaya , Osman Temiz Mah.,3,1,115,25,3,19000
 Keçiören , İncirli Mah.,3,1,140,25,2,18000
 Çankaya , Yaşamkent Mah.,4,1,220,20,7,37500
 Mamak , Türközü Mah.,3,1,125,12,3,18500
 Mamak , Akdere Mah.,3,1,135,20,1,25000
 Sincan , Plevne Mah.,3,1,120,30,3,12000
 Çankaya , Arka Topraklık Mah.,2,1,85,35,3,15500
 Etimesgut , Eryaman Mah.,4,1,178,6,2,38700
 Etimesgut , Yeni Bağlıca Mah.,4,1,250,6,6,37500
 Çankaya , Çukurambar Mah.,2,1,94,0,6,67500
 Keçiören , Sancaktepe Mah.,3,1,160,12,3,15000
 Çankaya , İlkbahar Mah.,5,1,280,3,21,50000
 Çankaya , 100. Yıl Mah.,2,1,115,30,-2,25000
 Etimesgut , Tunahan Mah.,3,1,130,24,5,25000
 Çankaya , Yıldızevler Mah.,2,1,85,30,4,25000
 Mamak , Abidinpaşa Mah.,3,1,100,20,-1,12000
 Gölbaşı , İncek Mah.,1,1,70,5,0,20000
 Keçiören , Yakacık Mah.,3,1,100,35,1,20000
 Çankaya , Ön Cebeci Mah.,2,1,80,50,0,17000
 Çankaya , İlkbahar Mah.,5,1,270,5,21,99000
 Mamak , Demirlibahçe Mah.,3,1,115,30,3,21000
 Yenimahalle , Yakacık Mah.,3,1,120,0,4,20000
 Keçiören , Ovacık Mah.,3,1,100,10,8,10000
 Çankaya , Anıttepe Mah.,3,1,125,35,4,28000
 Çankaya , Emek Mah.,1,0,50,15,2,16000
 Altındağ , Aydınlıkevler Mah.,1,1,75,22,1,14000
 Yenimahalle , Çiğdemtepe Mah.,3,1,140,8,9,19000
 Mamak , Hüseyingazi Mah.,3,1,120,16,-1,13500
 Çankaya , Nasuh Akar Mah.,3,1,150,26,2,35000
 Keçiören , Tepebaşı Mah.,3,1,125,20,1,21000
 Çankaya , Bahçelievler Mah.,2,1,80,40,2,23000
 Çankaya , Emek Mah.,4,1,185,3,3,50000
 Yenimahalle , İnönü Mah.,1,1,77,1,4,28000
 Etimesgut , Bağlıca Mah.,4,1,190,8,3,37500
 Etimesgut , Topçu Mah.,2,1,90,11,3,15500
 Çankaya , Çamlıtepe Mah.,3,1,125,19,2,22000
 Mamak , Kutlu Mah.,3,0,125,10,1,25000
 Mamak , Harman Mah.,2,0,100,10,4,14000
 Çankaya , Büyükesat Mah.,3,1,160,35,3,40000
 Keçiören , Kavacık Subayevleri Mah.,3,1,100,30,-1,12500
 Sincan , Menderes Mah.,3,1,120,4,0,18000
 Gölbaşı , Seğmenler Mah.,2,1,85,5,2,23000
 Polatlı , Cumhuriyet Mah.,2,1,100,25,3,7500
 Çankaya , Bahçelievler Mah.,2,1,85,0,3,40000
 Çankaya , Malazgirt Mah.,2,1,115,16,-1,21000
 Çankaya , Kazım Özalp Mah.,2,1,120,34,2,28500
 Yenimahalle , Işınlar Mah.,3,1,130,10,1,18000
 Mamak , Kıbrısköy Mah.,3,1,120,10,2,13750
 Keçiören , Atapark Mah.,5,1,195,2,1,20000
 Sincan , Fatih Mah.,3,1,110,10,2,16000
 Çankaya , Harbiye Mah.,3,1,110,21,0,30500
 Çankaya , Muhsin Ertuğrul Mah.,3,1,115,25,-1,25000
 Polatlı , Cumhuriyet Mah.,3,1,110,25,3,10000
 Çankaya , Hilal Mah.,3,1,155,10,2,39900
 Kahramankazan , Atatürk Mah.,3,1,120,25,4,17000
 Keçiören , Etlik Mah.,3,1,140,5,1,20000
 Yenimahalle , Kentkoop Mah.,3,1,120,16,3,25000
 Çankaya , Dodurga Mah.,4,1,195,1,3,45500
 Yenimahalle , Demetevler Mah.,3,1,130,26,4,21500
 Keçiören , Etlik Mah.,3,1,135,11,3,17500
 Çankaya , Akpınar Mah.,3,1,140,12,1,22000
 Çankaya , Barbaros Mah.,2,1,95,35,1,27000
 Yenimahalle , Beştepe Mah.,4,1,240,7,7,94000
 Etimesgut , Devlet Mah.,3,1,138,17,6,25000
 Keçiören , Etlik Mah.,3,1,130,15,3,19000
 Çankaya , Ata Mah.,3,1,125,18,1,20400
 Keçiören , Ovacık Mah.,4,1,200,5,7,33000
 Yenimahalle , Batı Sitesi Mah.,2,1,80,0,2,4250000
 Altındağ , Zübeyde Hanım Mah.,2,1,95,30,1,15000
 Yenimahalle , Emniyet Mah.,3,1,70,40,6,14000
 Gölbaşı , Taşpınar Mah.,1,1,45,0,1,23000
 Etimesgut , Bağlıca Mah.,4,1,180,10,4,37000
 Keçiören , Ayvalı Mah.,3,1,135,30,3,18000
 Çankaya , Yukarı Dikmen Mah.,4,1,390,18,9,110000
 Yenimahalle , Susuz Mah.,4,1,164,6,5,40000
 Keçiören , Atapark Mah.,3,1,130,15,2,17000
 Mamak , Derbent Mah.,3,1,145,0,10,16000
 Etimesgut , Kazım Karabekir Mah.,3,1,110,25,1,15700
 Çankaya , Güzeltepe Mah.,6,1,270,20,3,40000
 Etimesgut , Bağlıca Mah.,4,1,190,12,13,45000
 Çankaya , Güzeltepe Mah.,3,1,150,50,1,40000
 Gölbaşı , Kızılcaşar Mah.,1,1,50,0,2,25000
 Keçiören , Esertepe Mah.,4,1,140,13,1,24000
 Çankaya , Bademlidere Mah.,1,1,55,0,1,18000
 Mamak , Gülveren Mah.,3,1,125,9,2,18000
 Yenimahalle , Aşağı Yahyalar Mah.,3,1,145,11,12,30000
 Keçiören , Yayla Mah.,3,1,135,7,2,19000
 Etimesgut , Tunahan Mah.,2,1,79,22,1,21000
 Etimesgut , Aşağıyurtçu Mah.,3,1,117,12,3,14000
 Yenimahalle , Emniyet Mah.,1,1,86,0,4,35000
 Keçiören , Kanuni Mah.,3,1,120,12,3,18500
 Altındağ , Aydınlıkevler Mah.,3,1,120,20,6,29500
 Gölbaşı , Örencik Mah.,1,1,55,0,3,17000
 Keçiören , Şenlik Mah.,3,1,129,35,6,14500
 Çankaya , Mustafa Kemal Mah.,2,1,100,16,6,50000
 Çankaya , Göktürk Mah.,3,1,110,16,1,23000
 Çankaya , İleri Mah.,2,1,80,40,3,20000
 Çankaya , Yukarı Dikmen Mah.,5,1,250,15,11,55000
 Çankaya , Aşıkpaşa Mah.,2,1,100,6,0,25000
 Çankaya , Emek Mah.,3,1,160,40,3,27000
 Çankaya , Büyükesat Mah.,3,1,155,30,3,35000
 Keçiören , Ayvalı Mah.,3,1,120,20,1,18000
 Etimesgut , Bağlıca Mah.,4,1,198,0,3,44500
 Çankaya , Birlik Mah.,2,1,120,22,1,20000
 Çankaya , İlkbahar Mah.,4,1,170,4,4,59000
 Etimesgut , Altay Mah.,2,1,82,3,12,28500
 Çankaya , Dodurga Mah.,1,1,35,1,8,20000
 Yenimahalle , Ergazi Mah.,1,1,55,4,9,25000
 Çankaya , Emek Mah.,3,1,100,3,0,38000
 Çankaya , Emek Mah.,4,1,160,25,6,55000
 Çankaya , Seyranbağları Mah.,2,1,105,35,0,18000
 Mamak , Bahçelerüstü Mah.,3,1,110,15,2,17000
 Çankaya , Kırkkonaklar Mah.,3,1,160,18,1,30000
 Keçiören , Etlik Mah.,3,1,160,10,4,8000
 Gölbaşı , Kızılcaşar Mah.,3,1,110,0,2,40000
 Çankaya , Kazım Özalp Mah.,4,1,200,31,0,32500
 Çankaya , Birlik Mah.,4,1,160,23,1,30000
 Çankaya , Naci Çakır Mah.,3,1,145,30,1,22000
 Etimesgut , Tunahan Mah.,3,1,135,11,1,21000
 Keçiören , Etlik Mah.,4,1,250,25,3,31900
 Yenimahalle , Özevler Mah.,3,1,120,39,3,18000
 Yenimahalle , Yeni Batı Mah.,5,1,230,0,9,39000
 Yenimahalle , Turgut Özal Mah.,4,1,160,16,8,33000
 Yenimahalle , İlkyerleşim Mah.,3,1,115,30,0,33000
 Keçiören , Adnan Menderes Mah.,3,1,135,0,2,33000
 Keçiören , Şenlik Mah.,3,1,135,10,15,35000
 Mamak , Fahri Korutürk Mah.,3,1,105,10,3,15000
 Yenimahalle , Uğur Mumcu Mah.,2,1,80,34,1,26000
 Mamak , Tuzluçayır Mah.,3,1,130,16,1,17999
 Etimesgut , Devlet Mah.,3,1,140,2,21,40000
 Yenimahalle , Mehmet Akif Ersoy Mah.,2,1,95,5,8,27500
 Keçiören , Ayvalı Mah.,3,1,140,25,3,25000
 Çankaya , Dodurga Mah.,4,1,230,0,6,43000
 Çankaya , Çukurambar Mah.,1,1,75,0,4,50000
 Çankaya , İlkbahar Mah.,5,1,280,3,21,50000
 Keçiören , Etlik Mah.,3,1,130,15,-1,20000
 Çankaya , Yukarı Bahçelievler Mah.,3,1,110,35,1,25000
 Çankaya , Fakülteler Mah.,2,1,110,31,1,25000
 Çankaya , Naci Çakır Mah.,3,1,130,40,2,30000
 Gölbaşı , Seğmenler Mah.,4,1,180,1,1,40000
 Çankaya , Birlik Mah.,1,1,80,15,1,20000
 Yenimahalle , Yeni Batı Mah.,3,1,105,32,4,19000
 Yenimahalle , Demetevler Mah.,3,1,130,31,5,17000
 Altındağ , Örnek Mah.,2,1,78,45,3,10000
 Çankaya , İlkbahar Mah.,5,1,270,10,21,99000
 Etimesgut , Tunahan Mah.,2,1,75,27,3,17000
 Mamak , Kıbrısköy Mah.,3,1,158,0,9,18500
 Etimesgut , Bağlıca Mah.,4,1,200,0,0,65000
 Keçiören , Ayvalı Mah.,2,1,95,10,1,28000
 Keçiören , Ovacık Mah.,4,1,220,2,14,35500
 Çankaya , Naci Çakır Mah.,3,1,170,28,1,22000
 Keçiören , Şefkat Mah.,3,1,130,35,6,30000
 Çankaya , Erzurum Mah.,3,1,130,30,-2,20000
 Gölbaşı , Taşpınar Mah.,4,1,130,3,3,26000
 Mamak , Bahçelerüstü Mah.,3,1,150,15,4,18000
 Sincan , Menderes Mah.,3,1,110,0,1,17500
 Pursaklar , Mimar Sinan Mah.,3,1,120,11,4,15500
 Yenimahalle , Turgut Özal Mah.,3,1,130,25,8,27500
 Mamak , Üreğil Mah.,3,1,130,12,14,17500
 Mamak , Başak Mah.,3,1,130,12,3,15000
 Mamak , Bahçelerüstü Mah.,3,1,125,20,1,19000
 Keçiören , 19 Mayıs Mah.,5,1,320,15,3,32000
 Keçiören , Basınevleri Mah.,2,1,100,2,3,29750
 Keçiören , Etlik Mah.,3,1,150,11,9,31000
 Sincan , Gazi Osmanpaşa Mah.,3,1,125,16,4,23000
 Keçiören , Kamil Ocak Mah.,3,1,105,35,1,14000
 Altındağ , Aydınlıkevler Mah.,3,1,110,40,4,19900
 Çankaya , Osman Temiz Mah.,3,1,120,25,0,20000
 Çankaya , Harbiye Mah.,3,1,110,35,3,23000
 Altındağ , Gültepe Mah.,2,1,108,0,5,17000
 Polatlı , Şehitlik Mah.,3,1,110,30,2,12500
 Yenimahalle , Yeniçağ Mah.,3,1,100,20,1,20000
 Yenimahalle , Pamuklar Mah.,4,1,130,20,6,19000
 Yenimahalle , Demetevler Mah.,3,1,125,25,4,15000
 Mamak , Balkiraz Mah.,3,1,115,25,1,15000
 Çubuk , Esenboğa Merkez Mah.,1,1,46,0,3,15250
 Yenimahalle , Ata Mah.,3,1,135,15,1,26000
 Gölbaşı , Şafak Mah.,4,1,220,3,3,32500
 Mamak , Ekin Mah.,3,1,120,27,3,14000
 Sincan , 29 Ekim Mah.,3,1,130,0,2,20500
 Keçiören , İncirli Mah.,3,1,115,25,0,13999
 Çankaya , Alacaatlı Mah.,1,1,55,0,3,21000
 Yenimahalle , İlkyerleşim Mah.,3,1,125,16,2,30000
 Yenimahalle , Serhat Mah.,3,1,150,25,6,25500
 Altındağ , Beşikkaya Mah.,3,1,140,0,1,18000
 Çankaya , Şehit Cengiz Karaca Mah.,3,1,160,17,-1,24750
 Yenimahalle , Ergenekon Mah.,3,1,140,25,3,21000
 Çubuk , Yıldırım Beyazıt Mah.,3,1,145,16,4,8750
 Polatlı , Şehitlik Mah.,3,1,135,10,4,16000
 Keçiören , Ufuktepe Mah.,3,1,120,8,3,21000
 Çankaya , Aşıkpaşa Mah.,3,1,120,10,2,23000
 Gölbaşı , Seğmenler Mah.,3,1,110,15,6,20000
 Gölbaşı , Karşıyaka Mah.,2,1,70,0,3,35000
 Etimesgut , Ayyıldız Mah.,3,1,150,0,4,35000
 Altındağ , Yıldıztepe Mah.,3,1,135,5,2,19000
 Sincan , Atatürk Mah.,3,1,120,20,1,14000
 Keçiören , Bağlarbaşı Mah.,3,1,125,20,6,18000
 Çankaya , Oran Mah.,3,1,170,3,16,88000
 Sincan , Pınarbaşı Mah.,3,1,110,20,2,25000
 Çankaya , Hilal Mah.,6,2,650,5,0,125000
 Keçiören , Kavacık Subayevleri Mah.,3,1,124,20,2,21000
 Mamak , Tuzluçayır Mah.,3,1,130,15,2,15750
 Pursaklar , Merkez Mah.,3,1,115,5,1,17500
 Etimesgut , Topçu Mah.,2,1,85,0,0,22000
 Çankaya , Birlik Mah.,4,1,160,15,3,36500
 Keçiören , Aşağı Eğlence Mah.,2,1,120,31,3,24000
 Polatlı , Cumhuriyet Mah.,3,1,125,25,4,18000
 Sincan , 29 Ekim Mah.,3,1,130,11,4,16500
 Keçiören , Yayla Mah.,3,1,105,12,-1,15000
 Yenimahalle , Demetevler Mah.,2,1,90,30,7,26000
 Sincan , Malazgirt Mah.,3,1,125,20,1,15000
 Keçiören , Ayvalı Mah.,3,1,130,25,3,23000
 Mamak , Balkiraz Mah.,2,1,95,30,0,25000
 Sincan , Ahi Evran Mah.,4,1,120,30,3,5000
 Etimesgut , Göksu Mah.,3,1,104,17,6,25000
 Çankaya , Sancak Mah.,1,1,165,24,3,30000
 Keçiören , Atapark Mah.,2,1,100,5,-2,16000
 Çankaya , Cebeci Mah.,2,1,120,3,4,30000
 Çankaya , Harbiye Mah.,3,1,120,26,1,20900
 Çubuk , Yıldırım Beyazıt Mah.,3,1,110,13,3,7000
 Çankaya , İşçi Blokları Mah.,2,1,100,37,2,25000
 Çankaya , Ertuğrulgazi Mah.,3,1,110,35,3,20000
 Çankaya , Kızılay Mah.,3,1,125,35,3,35000
 Çankaya , Prof. Dr. Ahmet Taner Kışlalı Mah.,2,2,130,16,5,35000
 Keçiören , Kavacık Subayevleri Mah.,3,1,105,35,1,15000
 Sincan , Osmanlı Mah.,3,0,145,30,6,25000
 Mamak , Peyami Safa Mah.,3,1,110,25,1,12250
 Sincan , Selçuklu Mah.,2,1,80,20,6,12000
 Çankaya , Harbiye Mah.,3,1,150,30,1,35000
 Altındağ , Aydınlıkevler Mah.,3,1,130,31,4,21000
 Etimesgut , Elvan Mah.,3,1,145,10,1,25900
 Yenimahalle , Avcılar Mah.,3,1,145,11,2,21000
 Polatlı , Mehmet Akif Mah.,3,1,135,10,5,10500
 Çankaya , Osman Temiz Mah.,2,1,125,21,-3,18000
 Çankaya , Yukarı Dikmen Mah.,3,1,125,26,3,25000
 Gölbaşı , Kızılcaşar Mah.,1,1,50,4,15,32000
 Çankaya , Oğuzlar Mah.,3,1,90,30,-1,16000
 Mamak , Şafaktepe Mah.,3,1,125,38,2,20000
 Gölbaşı , Kızılcaşar Mah.,1,1,43,1,1,24000
 Keçiören , Yükseltepe Mah.,3,1,130,15,0,18500
 Keçiören , Şehit Kubilay Mah.,3,1,120,13,-2,17300
 Keçiören , Kavacık Subayevleri Mah.,2,1,100,25,0,22000
 Etimesgut , Bağlıca Mah.,3,1,150,12,1,30000
 Mamak , Hürel Mah.,3,1,120,10,1,18000
 Çankaya , Kazım Özalp Mah.,3,1,130,38,1,45000
 Polatlı , Mehmet Akif Mah.,3,1,160,20,1,12000
 Çankaya , Oran Mah.,3,1,110,25,3,27000
 Polatlı , Basrı Mah.,3,1,145,17,6,15000
 Gölbaşı , İncek Mah.,3,1,170,7,11,35500
 Çankaya , Koru Mah.,3,1,130,20,3,37000
 Çankaya , İleri Mah.,3,1,112,32,1,20000
 Çankaya , İlkbahar Mah.,5,1,270,6,13,42000
 Çankaya , Yıldızevler Mah.,4,1,220,16,10,50000
 Keçiören , Kuşcağız Mah.,3,1,125,5,3,18000
 Etimesgut , Bağlıca Mah.,1,0,28,6,5,15000
 Etimesgut , İstasyon Mah.,3,1,110,20,2,16000
 Çankaya , Akpınar Mah.,4,1,180,9,2,45000
 Mamak , Abidinpaşa Mah.,2,1,95,21,1,18500
 Çankaya , Cebeci Mah.,3,1,110,25,2,15000
 Yenimahalle , Emniyet Mah.,1,1,88,0,6,34000
 Çankaya , Büyükesat Mah.,3,1,150,40,2,40000
 Yenimahalle , Gazi Mah.,3,1,95,30,0,21000
 Mamak , General Zeki Doğan Mah.,3,1,110,16,1,18000
 Yenimahalle , Demetevler Mah.,3,1,110,25,3,19000
 Etimesgut , Piyade Mah.,3,1,135,19,3,18000
 Keçiören , Ayvalı Mah.,3,1,120,30,1,20000
 Çubuk , Dumlupınar Mah.,1,1,55,0,1,10000
 Mamak , General Zeki Doğan Mah.,3,1,110,15,3,18500
 Çankaya , Mutlukent Mah.,3,1,175,26,1,52500
 Keçiören , 19 Mayıs Mah.,3,1,130,30,4,18000
 Mamak , Kazım Orbay Mah.,3,1,100,25,4,12500
 Çubuk , Esenboğa Merkez Mah.,2,1,70,2,1,10500
 Çankaya , Yukarı Bahçelievler Mah.,3,1,120,35,1,36000
 Altındağ , Gültepe Mah.,3,1,120,15,8,19000
 Keçiören , Etlik Mah.,3,1,115,25,1,20000
 Çankaya , İncesu Mah.,3,1,110,15,2,25000
 Keçiören , Yayla Mah.,4,1,220,10,3,23000
 Çankaya , Kırkkonaklar Mah.,3,1,160,18,2,30000
 Polatlı , Zafer Mah.,3,1,150,15,3,15000
 Çankaya , Aşıkpaşa Mah.,2,1,90,10,0,20000
 Çankaya , Maltepe Mah.,2,1,110,40,2,25000
 Çankaya , Metin Akkuş Mah.,2,1,80,23,0,14000
 Etimesgut , Altay Mah.,4,1,150,1,8,42000
 Çankaya , Alacaatlı Mah.,3,1,175,5,3,38000
 Çankaya , Mürsel Uluç Mah.,3,1,110,21,-1,15500
 Altındağ , Aydınlıkevler Mah.,2,1,99,45,3,10000
 Keçiören , Esertepe Mah.,3,1,140,15,2,22000
 Çankaya , 100. Yıl Mah.,2,1,90,25,0,22000
 Çankaya , Ümit Mah.,3,1,160,26,13,34250
 Yenimahalle , Batı Sitesi Mah.,1,1,55,0,3,20250
 Yenimahalle , Serhat Mah.,3,1,145,26,3,22500
 Mamak , Durali Alıç Mah.,3,1,125,5,0,19000
 Polatlı , Cumhuriyet Mah.,3,1,135,25,3,15000
 Keçiören , Ayvalı Mah.,2,1,110,20,1,24500
 Keçiören , Köşk Mah.,3,1,120,20,1,15750
 Yenimahalle , İnönü Mah.,3,1,140,11,0,40000
 Çankaya , Koru Mah.,3,1,140,21,10,38000
 Yenimahalle , Demetgül Mah.,3,1,130,40,9,20000
 Sincan , Fevzi Çakmak Mah.,3,1,140,0,4,20000
 Çankaya , Emek Mah.,1,1,60,5,1,38000
 Keçiören , Kamil Ocak Mah.,3,1,120,24,3,15000
 Keçiören , Bağlarbaşı Mah.,4,1,170,15,7,33000
 Çankaya , Yukarı Bahçelievler Mah.,3,1,200,20,4,37500
 Sincan , Pınarbaşı Mah.,3,1,125,8,1,18000
 Çankaya , Seyranbağları Mah.,3,1,105,30,1,16500
 Keçiören , Bağlarbaşı Mah.,3,1,115,16,3,17000
 Gölbaşı , Karşıyaka Mah.,1,1,55,0,1,18000
 Çankaya , Yaşamkent Mah.,3,1,145,28,7,39000
 Çankaya , Aziziye Mah.,4,1,180,35,2,42000
 Etimesgut , Göksu Mah.,3,1,160,17,10,45000
 Keçiören , Aşağı Eğlence Mah.,5,1,272,10,1,65000
 Keçiören , Ayvalı Mah.,3,1,125,12,1,19000
 Keçiören , Aşağı Eğlence Mah.,1,1,60,40,0,16000
 Çankaya , Çukurambar Mah.,1,1,75,0,0,50000
 Çankaya , Akpınar Mah.,3,1,145,16,1,22500
 Çankaya , Maltepe Mah.,3,1,110,45,0,17000
 Çankaya , Murat Mah.,3,1,110,31,1,25000
 Polatlı , Cumhuriyet Mah.,2,1,100,20,4,13000
 Mamak , Tuzluçayır Mah.,3,1,115,12,3,15500
 Yenimahalle , Ragıp Tüzün Mah.,2,1,100,40,3,18500
 Çankaya , Dodurga Mah.,1,1,40,1,7,17000
 Çankaya , Kazım Özalp Mah.,2,1,95,35,0,28000
 Yenimahalle , Karşıyaka Mah.,2,1,95,31,2,12300
 Yenimahalle , Ergenekon Mah.,3,1,110,34,2,18500
 Çankaya , İlkbahar Mah.,1,1,110,4,4,43000
 Çankaya , Anıttepe Mah.,2,1,85,40,0,18000
 Çankaya , Harbiye Mah.,3,1,125,30,1,24000
 Çankaya , Alacaatlı Mah.,1,1,72,8,5,25500
 Çankaya , Topraklık Mah.,3,1,85,4,0,18000
 Altındağ , Karapürçek Mah.,3,1,130,13,2,15000
 Çubuk , Yıldırım Beyazıt Mah.,3,1,110,10,3,12000
 Çankaya , Seyranbağları Mah.,3,1,110,40,3,19500
 Mamak , Harman Mah.,3,1,120,15,-1,15500
 Mamak , Abidinpaşa Mah.,3,1,120,30,2,22000
 Yenimahalle , Emniyet Mah.,2,1,85,30,1,20000
 Yenimahalle , Yakacık Mah.,3,1,135,0,2,17000
 Polatlı , Şehitlik Mah.,4,1,200,1,3,24000
 Polatlı , Gazi Mah.,3,1,138,20,5,10000
 Altındağ , Karapürçek Mah.,3,1,135,5,3,20000
 Etimesgut , Piyade Mah.,2,1,90,11,-1,14500
 Sincan , Malazgirt Mah.,3,1,130,20,3,15500
 Sincan , Malazgirt Mah.,3,1,130,20,3,15500
 Pursaklar , Saray Cumhuriyet Mah.,3,1,150,11,2,14000
 Altındağ , Gültepe Mah.,2,1,108,0,7,16000
 Yenimahalle , Demetevler Mah.,3,1,120,25,-1,15000
 Çankaya , Harbiye Mah.,2,1,120,26,2,35000
 Keçiören , Yükseltepe Mah.,3,1,140,2,4,25000
 Yenimahalle , Gazi Mah.,2,1,70,30,0,13000
 Çankaya , Sağlık Mah.,2,1,90,30,5,22000
 Çankaya , Bademlidere Mah.,4,1,208,1,8,46000
 Polatlı , Şentepe Mah.,4,1,195,0,4,19500
 Mamak , Bahçelerüstü Mah.,2,1,90,2,0,18000
 Çankaya , Prof. Dr. Ahmet Taner Kışlalı Mah.,3,1,115,21,2,35000
 Etimesgut , Atayurt Mah.,3,0,150,8,1,18000
 Gölbaşı , İncek Mah.,1,1,50,0,1,16000
 Keçiören , Etlik Mah.,3,1,125,30,2,21000
 Çankaya , Murat Mah.,2,1,100,35,0,20000
 Keçiören , Etlik Mah.,3,1,130,18,2,20000
